Movie Name,Release Date,Rating,Director,Link
The Shawshank Redemption,1994,9.2,Frank Darabont,https://www.imdb.com/title/tt0111161/?ref_=adv_li_tt
The Godfather,1972,9.1,Frank Darabont,https://www.imdb.com/title/tt0111161/?ref_=adv_li_tt
The Godfather: Part II,1974,9.0,Francis Ford Coppola,https://www.imdb.com/title/tt0068646/?ref_=adv_li_tt
The Dark Knight,2008,9.0,Francis Ford Coppola,https://www.imdb.com/title/tt0068646/?ref_=adv_li_tt
12 Angry Men,1957,8.9,Francis Ford Coppola,https://www.imdb.com/title/tt0071562/?ref_=adv_li_tt
Schindler's List,1993,8.9,Francis Ford Coppola,https://www.imdb.com/title/tt0071562/?ref_=adv_li_tt
The Lord of the Rings: The Return of the King,2003,8.9,Christopher Nolan,https://www.imdb.com/title/tt0468569/?ref_=adv_li_tt
Pulp Fiction,1994,8.9,Christopher Nolan,https://www.imdb.com/title/tt0468569/?ref_=adv_li_tt
"Il buono, il brutto, il cattivo",1966,8.8,Sidney Lumet,https://www.imdb.com/title/tt0050083/?ref_=adv_li_tt
Fight Club,1999,8.8,Sidney Lumet,https://www.imdb.com/title/tt0050083/?ref_=adv_li_tt
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,Steven Spielberg,https://www.imdb.com/title/tt0108052/?ref_=adv_li_tt
Forrest Gump,1994,8.8,Steven Spielberg,https://www.imdb.com/title/tt0108052/?ref_=adv_li_tt
Joker,2019,8.7,Peter Jackson,https://www.imdb.com/title/tt0167260/?ref_=adv_li_tt
Inception,2010,8.7,Peter Jackson,https://www.imdb.com/title/tt0167260/?ref_=adv_li_tt
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,Quentin Tarantino,https://www.imdb.com/title/tt0110912/?ref_=adv_li_tt
The Lord of the Rings: The Two Towers,2002,8.7,Quentin Tarantino,https://www.imdb.com/title/tt0110912/?ref_=adv_li_tt
The Matrix,1999,8.6,Sergio Leone,https://www.imdb.com/title/tt0060196/?ref_=adv_li_tt
One Flew Over the Cuckoo's Nest,1975,8.6,Sergio Leone,https://www.imdb.com/title/tt0060196/?ref_=adv_li_tt
Goodfellas,1990,8.6,David Fincher,https://www.imdb.com/title/tt0137523/?ref_=adv_li_tt
